No,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,39,29,46,2,26,27,25,27,46,57,47,42,54,39,26,27
2,46,66,57,43,50,51,39,50,49,49,27,37,29,33,26,33
3,83,79,83,64,75,54,58,53,65,66,44,43,40,38,41,42
4,76,82,76,69,63,74,46,44,73,38,56,44,45,32,34,31
5,31,23,45,80,25,27,25,26,27,26,23,39,19,20,19,18
6,91,114,108,53,77,63,73,68,127,128,108,117,160,89,73,70
7,67,118,104,115,110,86,55,42,51,70,47,62,60,52,40,44
8,127,119,101,125,92,83,70,58,69,55,64,88,60,45,57,48
9,87,89,111,127,86,67,62,51,60,50,65,45,59,62,48,46
10,111,111,140,97,82,58,58,44,64,67,72,60,65,50,35,39
11,84,83,74,122,74,55,87,64,88,95,78,58,81,36,42,54
12,86,70,111,111,59,58,67,71,55,70,81,81,101,43,60,38
13,194,175,186,108,127,174,183,176,201,237,194,191,215,172,122,143
14,163,134,181,198,103,139,137,138,187,159,172,183,208,188,157,134
15,176,152,161,148,109,121,121,132,171,167,188,177,198,142,159,154
16,83,81,90,175,58,61,89,85,78,68,105,100,99,89,49,46
17,63,65,37,139,37,30,36,24,40,39,56,57,46,25,33,32
18,65,83,59,56,50,72,50,63,51,78,80,89,72,60,60,48
19,78,58,52,51,60,42,46,51,50,46,58,40,30,40,27,20
20,151,121,144,64,87,65,63,80,95,90,116,106,128,124,118,84
21,41,48,79,116,63,71,65,72,87,130,93,122,126,126,108,110
22,-1,-1,-1,-1,8,14,11,5,13,13,5,10,8,13,4,2
